obs_date;name;hospitalized;uci;recovered;death;confirmed;confirmed_new;altas;fallecimientos;codigo_ine;Posicion;perc_exit;confirmedrecovered;confirmed_estimated
2020-04-08;León;275; 50; 620;210;1398; 54; 620;210;24089;42.666667,-6.0; 25,30120; 778;15000,00000
2020-04-08;Palencia;100; 18; 137; 41; 524; 14; 137; 41;34120;42.432128,-4.520647; 23,03371; 387; 2928,57143
2020-04-08;Salamanca;352; 44; 477;225;1915;108; 477;225;37274;40.833333,-6.0; 32,05128;1438;16071,42857
2020-04-08;Segovia;217; 24; 415;122;1480;131; 415;122;40004;41.166667,-4.0; 22,71881;1065; 8714,28571
2020-04-08;Soria;121; 23; 182; 66; 849; 12; 182; 66;42173;41.666667,-2.666667; 26,61290; 667; 4714,28571
2020-04-08;Valladolid;411;101; 604;162;1686; 84; 604;162;47186;41.583333,-4.666667; 21,14883;1082;11571,42857
2020-04-08;Zamora; 99; 12; 119; 43; 360; 18; 119; 43;49275;41.75,-6.0; 26,54321; 241; 3071,42857
2020-04-09;Ávila;156; 13; 297; 90; 825; 32; 297; 90; 5019;40.616092,-4.929031; 23,25581; 528; 6428,57143
2020-04-09;Burgos;202; 47; 441;129;1080; 27; 441;129; 9059;42.383333,-3.666667; 22,63158; 639; 9214,28571
2020-04-09;León;280; 53; 666;218;1455; 57; 666;218;24089;42.666667,-6.0; 24,66063; 789;15571,42857
2020-04-09;Palencia;105; 19; 153; 42; 545; 21; 153; 42;34120;42.432128,-4.520647; 21,53846; 392; 3000,00000
2020-04-09;Salamanca;341; 47; 507;231;1956; 41; 507;231;37274;40.833333,-6.0; 31,30081;1449;16500,00000
2020-04-09;Segovia;160; 21; 446;125;1571; 91; 446;125;40004;41.166667,-4.0; 21,89142;1125; 8928,57143
2020-04-09;Soria;108; 20; 203; 73; 872; 23; 203; 73;42173;41.666667,-2.666667; 26,44928; 669; 5214,28571
2020-04-09;Valladolid;390;100; 664;173;1846;160; 664;173;47186;41.583333,-4.666667; 20,66906;1182;12357,14286
2020-04-09;Zamora; 94; 12; 129; 48; 368;  8; 129; 48;49275;41.75,-6.0; 27,11864; 239; 3428,57143
2020-04-10;Ávila;134; 12; 325; 93; 859; 34; 325; 93; 5019;40.616092,-4.929031; 22,24880; 534; 6642,85714
